"Date","Price","Open","High","Low","Change %"
"Dec 07, 2012","39.850","40.136","40.215","39.749","-0.72%"
"Dec 06, 2012","40.141","40.205","40.417","40.016","-0.20%"
"Dec 05, 2012","40.220","40.347","40.460","40.190","-0.34%"
"Dec 04, 2012","40.359","40.305","40.520","40.267","0.10%"
"Dec 03, 2012","40.317","40.045","40.456","40.045","0.43%"
"Nov 30, 2012","40.145","40.038","40.233","39.987","0.23%"
"Nov 29, 2012","40.054","40.215","40.272","39.982","-0.43%"
"Nov 28, 2012","40.225","40.161","40.294","40.115","0.15%"
"Nov 27, 2012","40.165","40.212","40.352","40.087","-0.12%"
"Nov 26, 2012","40.213","40.240","40.295","40.136","-0.17%"
"Nov 23, 2012","40.280","40.156","40.336","40.087","0.24%"
"Nov 22, 2012","40.182","39.982","40.222","39.959","0.54%"
"Nov 21, 2012","39.966","40.100","40.221","39.882","-0.40%"
"Nov 20, 2012","40.126","40.249","40.285","40.040","-0.35%"
"Nov 19, 2012","40.265","40.418","40.472","40.168","-0.33%"
"Nov 16, 2012","40.397","40.487","40.532","40.284","-0.22%"
"Nov 15, 2012","40.487","40.373","40.533","40.306","0.25%"
"Nov 14, 2012","40.386","40.334","40.501","40.268","0.12%"
"Nov 13, 2012","40.338","40.192","40.440","40.075","0.32%"
"Nov 12, 2012","40.210","40.135","40.265","40.116","0.17%"
"Nov 09, 2012","40.140","40.166","40.279","40.068","-0.08%"
"Nov 08, 2012","40.171","40.318","40.367","40.098","-0.41%"
"Nov 07, 2012","40.336","40.183","40.339","40.061","0.34%"
"Nov 06, 2012","40.201","40.404","40.461","40.132","-0.52%"
"Nov 05, 2012","40.412","40.344","40.606","40.322","0.01%"
"Nov 02, 2012","40.407","40.467","40.568","40.215","-0.21%"
"Nov 01, 2012","40.493","40.620","40.737","40.451","-0.31%"
"Oct 31, 2012","40.620","40.654","40.752","40.544","-0.15%"
"Oct 30, 2012","40.683","40.648","40.781","40.584","0.13%"
"Oct 29, 2012","40.630","40.619","40.683","40.528","-0.04%"
"Oct 26, 2012","40.646","40.557","40.788","40.479","0.19%"
"Oct 25, 2012","40.567","40.706","40.832","40.498","-0.47%"
"Oct 24, 2012","40.759","40.729","40.816","40.539","0.02%"
"Oct 23, 2012","40.752","40.612","40.860","40.525","0.30%"
"Oct 22, 2012","40.630","40.258","40.680","40.236","0.98%"
"Oct 19, 2012","40.236","40.227","40.293","40.087","-0.03%"
"Oct 18, 2012","40.248","40.332","40.396","40.202","-0.24%"
"Oct 17, 2012","40.346","40.330","40.455","40.197","0.07%"
"Oct 16, 2012","40.318","40.155","40.321","40.115","0.43%"
"Oct 15, 2012","40.144","40.206","40.260","40.078","-0.39%"
"Oct 12, 2012","40.301","40.111","40.347","40.032","0.39%"
"Oct 11, 2012","40.144","40.043","40.223","39.974","0.20%"
"Oct 10, 2012","40.065","40.112","40.206","40.011","-0.14%"
"Oct 09, 2012","40.123","40.418","40.462","40.038","-0.78%"
"Oct 08, 2012","40.440","40.376","40.469","40.263","0.06%"
"Oct 05, 2012","40.416","40.290","40.490","40.112","0.25%"
"Oct 04, 2012","40.314","40.199","40.386","40.188","0.23%"
"Oct 03, 2012","40.220","40.233","40.316","40.093","-0.03%"
"Oct 02, 2012","40.233","40.192","40.284","40.037","0.06%"
"Oct 01, 2012","40.209","40.054","40.261","39.917","0.29%"
"Sep 28, 2012","40.091","40.001","40.288","39.919","0.18%"
"Sep 27, 2012","40.018","40.302","40.380","39.890","-0.73%"
"Sep 26, 2012","40.314","40.238","40.371","40.091","0.16%"
"Sep 25, 2012","40.250","40.250","40.526","39.989","-0.05%"
"Sep 24, 2012","40.271","40.261","40.534","40.106","-0.02%"
"Sep 21, 2012","40.281","40.406","40.583","40.190","-0.56%"
"Sep 20, 2012","40.507","40.684","41.032","40.388","-0.53%"
"Sep 19, 2012","40.723","40.309","40.836","40.267","0.99%"
"Sep 18, 2012","40.325","40.158","40.558","40.113","0.36%"
"Sep 17, 2012","40.180","40.020","40.259","39.947","0.33%"
"Sep 14, 2012","40.047","40.335","40.478","39.910","-0.76%"
"Sep 13, 2012","40.353","40.561","40.681","40.154","-0.56%"
"Sep 12, 2012","40.579","40.523","40.648","40.316","0.10%"
"Sep 11, 2012","40.537","40.402","40.697","40.389","0.31%"
"Sep 10, 2012","40.413","40.550","40.650","40.386","-0.44%"
"Sep 07, 2012","40.593","40.344","40.654","40.328","0.56%"
"Sep 06, 2012","40.367","40.678","40.763","40.297","-0.76%"
"Sep 05, 2012","40.678","40.560","40.809","40.484","0.24%"
"Sep 04, 2012","40.581","40.646","40.756","40.391","-0.22%"
"Sep 03, 2012","40.672","40.564","40.841","40.493","0.25%"
"Aug 31, 2012","40.570","40.692","40.885","40.509","-0.37%"
"Aug 30, 2012","40.720","40.349","40.795","40.323","0.88%"
"Aug 29, 2012","40.363","40.175","40.469","40.129","0.41%"
"Aug 28, 2012","40.198","39.850","40.321","39.742","0.82%"
"Aug 27, 2012","39.873","39.785","39.981","39.730","0.16%"
"Aug 24, 2012","39.808","39.798","40.005","39.754","-0.00%"
"Aug 23, 2012","39.809","39.802","39.934","39.687","-0.01%"
"Aug 22, 2012","39.814","39.596","39.849","39.562","0.50%"
"Aug 21, 2012","39.616","39.554","39.673","39.447","0.09%"
"Aug 20, 2012","39.580","39.528","39.653","39.414","0.16%"
"Aug 17, 2012","39.518","39.310","39.556","39.272","0.39%"
"Aug 16, 2012","39.366","39.138","39.533","39.061","0.52%"
"Aug 15, 2012","39.161","39.211","39.369","39.103","-0.18%"
"Aug 14, 2012","39.233","39.287","39.385","39.142","-0.19%"
"Aug 13, 2012","39.309","39.100","39.370","39.014","0.47%"
"Aug 10, 2012","39.127","39.007","39.278","38.913","0.27%"
"Aug 09, 2012","39.022","38.974","39.147","38.872","0.09%"
"Aug 08, 2012","38.986","39.093","39.347","38.920","-0.31%"
"Aug 07, 2012","39.106","39.086","39.378","39.065","-0.01%"
"Aug 06, 2012","39.110","39.649","39.818","39.068","-1.31%"
"Aug 03, 2012","39.631","39.777","39.804","39.424","-0.40%"
"Aug 02, 2012","39.791","39.599","40.001","39.504","0.42%"
"Aug 01, 2012","39.625","39.603","39.906","39.520","-0.01%"
"Jul 31, 2012","39.629","39.429","39.697","39.409","0.45%"
"Jul 30, 2012","39.451","39.413","39.618","39.279","-0.06%"
"Jul 27, 2012","39.475","39.720","39.803","39.324","-0.67%"
"Jul 26, 2012","39.741","39.666","39.838","39.510","0.15%"
"Jul 25, 2012","39.683","39.722","39.996","39.569","-0.14%"
"Jul 24, 2012","39.739","39.559","39.839","39.472","0.37%"
"Jul 23, 2012","39.591","38.900","39.708","38.848","1.59%"
"Jul 20, 2012","38.973","39.066","39.256","38.912","-0.29%"
"Jul 19, 2012","39.086","39.565","39.658","39.017","-1.28%"
"Jul 18, 2012","39.593","39.742","39.868","39.516","-0.44%"
"Jul 17, 2012","39.766","39.905","40.076","39.652","-0.38%"
"Jul 16, 2012","39.917","39.906","39.986","39.753","0.06%"
"Jul 13, 2012","39.894","39.927","40.027","39.767","-0.13%"
"Jul 12, 2012","39.946","40.017","40.091","39.773","-0.21%"
"Jul 11, 2012","40.032","40.287","40.370","39.927","-0.67%"
"Jul 10, 2012","40.303","40.599","40.633","40.224","-0.81%"
"Jul 09, 2012","40.633","40.319","40.670","40.086","0.60%"
"Jul 06, 2012","40.392","40.285","40.522","40.243","0.25%"
"Jul 05, 2012","40.292","40.495","40.773","40.228","-0.51%"
"Jul 04, 2012","40.498","40.615","40.634","40.436","-0.32%"
"Jul 03, 2012","40.629","40.970","41.040","40.446","-0.89%"
"Jul 02, 2012","40.995","41.041","41.313","40.853","-0.04%"
"Jun 29, 2012","41.012","41.207","41.847","40.938","-0.49%"
"Jun 28, 2012","41.212","41.098","41.308","41.066","0.22%"
"Jun 27, 2012","41.123","41.051","41.252","40.943","0.06%"
"Jun 26, 2012","41.099","41.538","41.671","40.984","-1.11%"
"Jun 25, 2012","41.559","41.676","41.707","41.370","-0.45%"
"Jun 22, 2012","41.745","41.624","42.208","41.566","0.30%"
"Jun 21, 2012","41.621","41.374","41.832","41.224","0.57%"
"Jun 20, 2012","41.385","41.077","41.534","40.949","0.73%"
"Jun 19, 2012","41.087","40.746","41.406","40.746","0.78%"
"Jun 18, 2012","40.769","41.178","41.272","40.666","-0.36%"
"Jun 15, 2012","40.916","41.028","41.079","40.795","-0.34%"
"Jun 14, 2012","41.057","40.789","41.111","40.747","0.65%"
"Jun 13, 2012","40.792","41.291","41.341","40.679","-1.28%"
"Jun 12, 2012","41.321","40.822","41.334","40.766","1.16%"
"Jun 11, 2012","40.847","41.294","41.335","40.353","0.32%"
"Jun 08, 2012","40.716","40.568","41.037","40.406","0.37%"
"Jun 07, 2012","40.564","40.651","40.786","40.351","-0.26%"
"Jun 06, 2012","40.668","41.165","41.573","40.473","-1.24%"
"Jun 05, 2012","41.179","41.824","41.935","41.008","-1.61%"
"Jun 04, 2012","41.851","41.825","42.351","41.712","0.01%"
"Jun 01, 2012","41.847","41.261","42.261","41.164","1.36%"
"May 31, 2012","41.284","40.582","41.679","40.560","1.65%"
"May 30, 2012","40.612","40.340","40.726","40.265","0.60%"
"May 29, 2012","40.370","40.212","40.396","40.134","0.34%"
"May 28, 2012","40.234","40.323","40.481","40.064","0.16%"
"May 25, 2012","40.170","39.858","40.224","39.777","0.78%"
"May 24, 2012","39.861","39.947","40.028","39.680","-0.21%"
"May 23, 2012","39.943","39.608","40.014","39.517","0.86%"
"May 22, 2012","39.601","39.850","39.904","39.533","-0.65%"
"May 21, 2012","39.861","39.886","39.991","39.738","-0.09%"
"May 18, 2012","39.897","39.417","39.934","39.367","1.12%"
"May 17, 2012","39.454","39.414","39.628","39.337","0.04%"
"May 16, 2012","39.437","39.071","39.540","39.003","0.91%"
"May 15, 2012","39.081","38.999","39.188","38.932","0.14%"
"May 14, 2012","39.025","38.842","39.112","38.842","0.14%"
"May 11, 2012","38.970","38.991","39.126","38.910","-0.14%"
"May 10, 2012","39.025","39.267","39.340","38.946","-0.65%"
"May 09, 2012","39.279","39.205","39.389","39.093","0.16%"
"May 08, 2012","39.216","39.258","39.310","38.991","-0.10%"
"May 07, 2012","39.255","38.789","39.291","38.569","0.77%"
"May 04, 2012","38.956","38.806","39.111","38.783","0.36%"
"May 03, 2012","38.815","38.677","38.897","38.640","0.22%"
"May 02, 2012","38.728","38.815","38.882","38.630","-0.27%"
"May 01, 2012","38.834","38.866","39.021","38.781","-0.13%"
"Apr 30, 2012","38.886","38.809","38.988","38.772","0.11%"
"Apr 27, 2012","38.843","38.725","38.954","38.685","0.21%"
"Apr 26, 2012","38.763","38.749","38.850","38.664","-0.01%"
"Apr 25, 2012","38.768","38.721","38.815","38.596","0.11%"
"Apr 24, 2012","38.726","38.824","38.867","38.625","-0.26%"
"Apr 23, 2012","38.826","38.856","38.917","38.738","-0.26%"
"Apr 20, 2012","38.928","38.762","38.965","38.733","0.39%"
"Apr 19, 2012","38.776","38.721","38.864","38.609","0.10%"
"Apr 18, 2012","38.738","38.710","38.774","38.587","0.03%"
"Apr 17, 2012","38.727","38.886","38.963","38.671","-0.46%"
"Apr 16, 2012","38.905","38.658","38.932","38.486","0.53%"
"Apr 13, 2012","38.700","38.776","38.893","38.648","-0.21%"
"Apr 12, 2012","38.782","38.853","38.954","38.669","-0.23%"
"Apr 11, 2012","38.872","38.982","39.188","38.822","-0.32%"
"Apr 10, 2012","38.998","38.769","39.046","38.749","0.55%"
"Apr 09, 2012","38.785","38.727","38.971","38.531","0.12%"
"Apr 06, 2012","38.737","38.486","38.773","38.454","0.62%"
"Apr 05, 2012","38.498","38.699","38.767","38.445","-0.55%"
"Apr 04, 2012","38.709","38.665","38.920","38.540","0.07%"
"Apr 03, 2012","38.682","39.006","39.148","38.616","-0.86%"
"Apr 02, 2012","39.019","39.157","39.315","38.982","-0.27%"
"Mar 30, 2012","39.124","39.185","39.355","39.079","-0.21%"
"Mar 29, 2012","39.207","39.097","39.226","38.917","0.25%"
"Mar 28, 2012","39.111","38.694","39.144","38.673","1.04%"
"Mar 27, 2012","38.707","38.641","38.769","38.501","0.10%"
"Mar 26, 2012","38.667","38.873","38.928","38.414","-0.56%"
"Mar 23, 2012","38.883","38.818","38.976","38.772","0.12%"
"Mar 22, 2012","38.835","38.637","38.904","38.584","0.44%"
"Mar 21, 2012","38.666","38.672","38.809","38.574","-0.04%"
"Mar 20, 2012","38.683","38.542","38.740","38.501","0.32%"
"Mar 19, 2012","38.559","38.523","38.690","38.410","0.11%"
"Mar 16, 2012","38.515","38.391","38.633","38.294","0.28%"
"Mar 15, 2012","38.409","38.486","38.658","38.297","-0.22%"
"Mar 14, 2012","38.493","38.527","38.592","38.391","-0.14%"
"Mar 13, 2012","38.546","38.877","38.971","38.467","-0.91%"
"Mar 12, 2012","38.899","38.561","38.975","38.465","0.78%"
"Mar 09, 2012","38.599","38.967","38.991","38.526","-0.95%"
"Mar 08, 2012","38.970","38.962","39.243","38.874","-0.04%"
"Mar 07, 2012","38.984","38.850","39.099","38.828","0.34%"
"Mar 06, 2012","38.851","38.776","38.993","38.728","0.17%"
"Mar 05, 2012","38.787","38.678","38.875","38.568","0.21%"
"Mar 02, 2012","38.707","38.887","39.006","38.568","-0.51%"
"Mar 01, 2012","38.906","38.751","39.138","38.695","0.37%"
"Feb 29, 2012","38.763","38.993","39.181","38.703","-0.64%"
"Feb 28, 2012","39.012","38.876","39.133","38.767","0.29%"
"Feb 27, 2012","38.899","39.260","39.320","38.766","-0.89%"
"Feb 24, 2012","39.249","39.606","39.639","39.133","-0.92%"
"Feb 23, 2012","39.613","39.320","39.619","39.289","0.72%"
"Feb 22, 2012","39.328","39.400","39.467","39.199","-0.22%"
"Feb 21, 2012","39.416","39.427","39.668","39.316","-0.07%"
"Feb 20, 2012","39.442","39.464","39.637","39.278","0.09%"
"Feb 17, 2012","39.405","39.452","39.485","39.302","-0.17%"
"Feb 16, 2012","39.472","39.247","39.524","39.142","0.54%"
"Feb 15, 2012","39.259","39.465","39.582","39.202","-0.54%"
"Feb 14, 2012","39.471","39.468","39.657","39.391","-0.05%"
"Feb 13, 2012","39.490","39.680","39.848","39.445","-0.30%"
"Feb 10, 2012","39.610","39.447","39.782","39.402","0.35%"
"Feb 09, 2012","39.473","39.426","39.616","39.344","0.11%"
"Feb 08, 2012","39.431","39.435","39.602","39.341","-0.07%"
"Feb 07, 2012","39.459","39.471","39.515","39.223","-0.03%"
"Feb 06, 2012","39.470","39.518","39.639","39.269","-0.41%"
"Feb 03, 2012","39.632","39.676","39.853","39.475","-0.16%"
"Feb 02, 2012","39.697","39.700","39.901","39.578","-0.05%"
"Feb 01, 2012","39.716","39.632","39.875","39.549","0.20%"
"Jan 31, 2012","39.636","39.901","40.041","39.543","-0.71%"
"Jan 30, 2012","39.921","39.815","40.033","39.624","0.19%"
"Jan 27, 2012","39.845","39.712","39.891","39.647","0.31%"
"Jan 26, 2012","39.721","39.995","40.053","39.685","-0.75%"
"Jan 25, 2012","40.022","40.083","40.136","39.685","-0.18%"
"Jan 24, 2012","40.093","40.228","40.296","39.944","-0.38%"
